capture_us,arm_x,arm_z,claw
1787986341872432,0,0,128
1787986341891879,0,0,128
1787986341912241,0,0,128
1787986341932181,0,0,128
1787986341952046,0,0,128
1787986341972142,0,0,128
1787986341991636,0,0,128
1787986342011563,0,0,128
1787986342031746,0,0,128
1787986342052011,0,0,128
1787986342071826,0,0,128
1787986342091998,0,0,128
1787986342112199,0,0,128
1787986342132555,0,0,128
1787986342151883,0,0,128
1787986342172456,0,0,128
1787986342191690,0,0,128
1787986342211955,0,0,128
1787986342232174,0,0,128
1787986342251806,0,0,128
1787986342271697,0,0,128
1787986342291775,0,0,128
1787986342311939,0,0,128
1787986342332363,0,0,128
1787986342351674,0,0,128
1787986342372217,0,0,128
